Helmond slaughterhouse closed over 21 coronavirus infections," Van Rooi Meat slaughterhouse in Helmond was ordered closed on Thursday evening after 21 employees tested positive for the coronavirus in a sample testing. The meat processing company will have to stay closed until at least Tuesday, local security region Veiligheidsregio Brabant-Zuidoost announced. ",https://nltimes.nl/2020/05/29/helmond-slaughterhouse-closed-21-coronavirus-infections, Helmond slaughterhouse closed over 21 coronavirus infections ,"Van Rooi Meat slaughterhouse in Helmond was ordered closed on Thursday evening after 21 employees tested positive for the coronavirus in a sample testing. The meat processing company will have to stay closed until at least Tuesday, local security region Veiligheidsregio Brabant-Zuidoost announced.
The employees were tested after the food and consumer product safety authority NVWA and the quality assessor for the animal sector KDS tested their own personnel working at this location and found that some of them had the coronavirus. A total of 130 Van Rooi Meat employees were tested, 21 tested positive. 
The employees who tested positive will be quarantined for two weeks, as will their housemates. They will be given accommodation in a hotel in the region, according to NU.nl. On Friday, the safety region will announce the next steps to be taken at Van Rooi Meat, together with health service GGD. These steps will likely include testing all employees working at Van Rooi Meat. 
This is the third slaughterhouse in the Netherlands ordered closed because the coronavirus. A Vion slaughterhouse in Apeldoorn was closed for violating social distancing measures. And another Vion slaughterhouse in Groenlo was closed after 147 of its workers tested positive for the coronavirus.
Minister Carola Schouten of Agriculture, Nature and Food Quality met with the meat sector and said that businesses in this sector need to do more to protect their employees. She said that she is not out to close slaughterhouses, but the ball is in their court. 
",post_images/20200529-153005Hel.jpg
Jan van Zanen tapped to be mayor in The Hague," Jan van Zanen, currently mayor in Utrecht, was nominated to be the new mayor of The Hague. Chris van der Helm, chairman of the confidential committee that led the search for the mayor, called the 58-year-old VVD man an ""experienced, powerful director with a lot of mayor experience who can get started right away"", NOS reports. ",https://nltimes.nl/2020/05/29/jan-van-zanen-tapped-mayor-hague, Jan van Zanen tapped to be mayor in The Hague ,"Jan van Zanen, currently mayor in Utrecht, was nominated to be the new mayor of The Hague. Chris van der Helm, chairman of the confidential committee that led the search for the mayor, called the 58-year-old VVD man an ""experienced, powerful director with a lot of mayor experience who can get started right away"", NOS reports.
Van Zanen was reappointed in January for a second term as mayor in Utrecht. Who will succeed him in that city, is not yet known. At Utrecht's city council meeting on Thursday evening, he said that he was ""very honored"" to be nominated in The Hague. ""I look forward to the work I have to do there. At the same time, there is another side. I am leaving the city where I lived and worked the longest,"" Van Zanen said. 
According to Van Zanen, Utrecht is in good shape and will do well without him. ""And I will also follow my passion in The Hague: serving the public good."" 
D66 chairman in Utrecht, Jony Ferket, said that the city is sad to see Van Zanen go. ""Utrecht loses an involved mayor who is close to the people.""
The Hague has been looking for a new mayor since October, when Pauline Krikke stepped down. She had come under fire after a critical report from the Dutch Safety Board about a New Year's bonfire in Scheveningen that got out of hand and started dozens of small fires on 1 January 2019. The atmosphere in the city council was already tense because of a corruption case surrounding form city councilors Richard de Mos and Rachid Guernaoui.
Johan Remkes was appointed to be interim mayor in The Hague while a new mayor was sought. He told Omroep West that he is ""very happy"" with Van Zanen's nomination. ""Jan van Zanen is sometimes firm and he is a unifying personality, who also invests in people and has a big heart for public order and security,"" he said to the broadcaster.
The confidential committee assessed 23 applications for the post of mayor in The Hague and submitted two to the city council. The city council selected Van Zanen and nominated him to the Minister of Home Affairs. This is usually just a formality. Acting mayor Remkes will remain in office until July 1, when Van Zanen will be officially sworn in. 
",post_images/20200529-153005Jan.jpg
One killed in accident with wrong way driver on A12 highway," At least one person was killed in a head-on collision on the A12 highway towards Arnhem on Friday morning. The accident was very likely caused by a wrong way driver, the police said on Twitter at around 6:30 a.m. ",https://nltimes.nl/2020/05/29/one-killed-accident-wrong-way-driver-a12-highway, One killed in accident with wrong way driver on A12 highway ,"At least one person was killed in a head-on collision on the A12 highway towards Arnhem on Friday morning. The accident was very likely caused by a wrong way driver, the police said on Twitter at around 6:30 a.m.
The police received reports about a wrong way driver shortly before the accident happened. The car heading into oncoming traffic hit another car head-on near Maarsbergen. The person who was killed was in the hit car, the police said. Another person in that car was injured and taken to hospital. The wrong way driver was also injured. They were arrested and taken to hospital. 
How seriously the two injured people are hurt, is not known.
The highway is closed between Maarsbergen and Veenendaal-West for investigation and clean up. The road is expected to be closed until at least 10:00 a.m., according to travelers' association ANWB. A traffic jam formed behind the accident. Road users can expect to be stuck there for at least 20 minutes.
People traveling towards Arnhem are advised to detour at the Lunetten junction via Amersfoort and Apeldoorn on the A27, A28, A1, or  A30, public works department RIjkswaterstaat said.
",post_images/20200529-153005One.jpg
Netherlands mortality below average for second consecutive week," An estimated 2,750 people died in the Netherlands in the 21st week of 2020, between May 18 and 24. That is below what would have been normal for the 21st week of a year if there had been no coronavirus crisis, Statistics Netherlands reports. The previous week was the first time since the crisis that mortality in the Netherlands was below average. ",https://nltimes.nl/2020/05/29/netherlands-mortality-average-second-consecutive-week, Netherlands mortality below average for second consecutive week ,"An estimated 2,750 people died in the Netherlands in the 21st week of 2020, between May 18 and 24. That is below what would have been normal for the 21st week of a year if there had been no coronavirus crisis, Statistics Netherlands reports. The previous week was the first time since the crisis that mortality in the Netherlands was below average.
In the first 10 weeks of 2020, an average of 3,136 people died in the Netherlands per week. Then the coronavirus hit and the number of weekly deaths increased, peaking at 5,080 in week 14. Between weeks 11 and 19, almost 9 thousand more people died than is usual for this period, the stats office reported.
The fact that the number of weekly deaths is now below average does not mean that the coronavirus crisis is over, according to the stats office. ""It is known that after  period of higher mortality, a period of lower mortality often follows.""
Between May 18 and 24, a total of 104 people died of Covid-19, the respiratory disease caused by the coronavirus. These are only people who tested positive. The number of Covid-19 related deaths may be higher, as not everyone was tested for the disease. 
The excess mortality during the first weeks of the coronavirus crisis was highest among people who received long term care. Between weeks 11 and 19, over 15 thousand people in long term care passed away, 5 thousand people or 53 percent more than you'd expect if there hadn't been a coronavirus pandemic. The excess mortality was also high among people between the ages of 75 and 90, at 42 percent higher than normal. 
In the remaining population of over 17 million Netherlands residents, nearly 21 thousand people died in this period - about 3,500 people or 20 percent more than usual. 
 
",post_images/20200529-153005Net.jpg
"28 more Covid-19 deaths reported, 9 more hospitalizations"," Another 28 people were added to the number of Covid-19 patients who died from the disease, the RIVM said on Friday. It raised the total to 5,931, according to the Dutch public health agency.
There were still no reported deaths related to Covid-19 known to have taken place on Thursday. Five more cases were added to Wednesday's statistics, and four more were added to Tuesday's tally, bringing those totals up to 13 and 18, respectively. The rest of the deaths were spread out from April 1 through May 25. ",https://nltimes.nl/2020/05/29/28-covid-19-deaths-reported-9-hospitalizations," 28 more Covid-19 deaths reported, 9 more hospitalizations ","Another 28 people were added to the number of Covid-19 patients who died from the disease, the RIVM said on Friday. It raised the total to 5,931, according to the Dutch public health agency.
There were still no reported deaths related to Covid-19 known to have taken place on Thursday. Five more cases were added to Wednesday's statistics, and four more were added to Tuesday's tally, bringing those totals up to 13 and 18, respectively. The rest of the deaths were spread out from April 1 through May 25.
An additional nine hospitalizations were also linked to the coronavirus disease. Those admissions were scattered between April and May. To date, 11,722 people in the Netherlands have required hospitalization since the end of February.
As of early Friday morning, 46,126 people have tested positive for an active case of Covid-19. That is an increase of 176 over Thursday's total. Some 348,256 tests for a SARS-CoV-2 infection have been carried out since March 9.
",post_images/20200529-15300528 .jpg
Two hurt in Rotterdam gas leak explosion; Possibly intentional," Two people were wounded Friday morning in Rotterdam when a forceful explosion in a flat blew out the apartment’s facade. A gas leak led to the explosion on Vignolastraat, according to the regional emergency services office.
It was not immediately clear if the cause of the gas leak was intentional or accidental. Police were investigating for any criminality or negligence. ",https://nltimes.nl/2020/05/29/two-hurt-rotterdam-gas-leak-explosion-possibly-intentional, Two hurt in Rotterdam gas leak explosion; Possibly intentional ,"Two people were wounded Friday morning in Rotterdam when a forceful explosion in a flat blew out the apartment’s facade. A gas leak led to the explosion on Vignolastraat, according to the regional emergency services office.
It was not immediately clear if the cause of the gas leak was intentional or accidental. Police were investigating for any criminality or negligence.
“Two people were injured. A person with burns, and a person with smoke inhalation. Both people were taken to hospital by ambulance workers,” the emergency office stated. One of those hurt was a resident of the apartment, the other was a neighbor.
A building resident told local broadcaster Rijnmond that the injured male resident was somewhat troubled. ""I just ran into him in the stairwell, and then he said he wanted to kill himself. That he had turned on the gas tap,"" said Dani to the broadcaster. She said the look in his eyes suggested he was either on drugs or otherwise medicated.
In een woning in een flatgebouw aan de Vignolastraat in Rotterdam heeft een explosie plaats gevonden. Een deel van de gevel op de 3e verdieping is hierbij weggeslagen. Één persoon is met spoed vervoerd naar een ziekenhuis. pic.twitter.com/reHqad7gea
— MediaTV (@mediatvnl) May 29, 2020
The blast was first reported just before 8 a.m. The alarm was almost immediately upgraded to a medium-sized fire, with paramedics, a trauma team, police and firefighters all sent to tackle the incident.
“The house where the explosion took place was severely damaged. Surrounding homes have been evacuated,” the emergency office said.
Rika told Rijnmond she heard a big boom. ""I thought something was thrown from the gallery, or someone struck the flat. But an explosion? No, it did not occur to me,"" she said. A brief period of panic by area residents was followed by a return to calm. Neighbors in other buildings were also providing assistance and shelter to those affected.
The fire was brought under control by 9:50 a.m. Building inspectors were carrying out checks on the homes affected by the explosion, the emergency office stated.
",post_images/20200529-153005Two.jpg
"Netherlands using more renewable energy, mostly biomass"," In 2019 the Netherlands' energy consumption from renewable sources grew by 16 percent compared to the year before. A total of 181 petajoules of the country's energy came from renewable sources. More than half of that increase was due to more biomass, mainly due to power plants using more biodiesel and biogasoline, Statistics Netherlands reported on Friday.  ",https://nltimes.nl/2020/05/29/netherlands-using-renewable-energy-mostly-biomass," Netherlands using more renewable energy, mostly biomass ","In 2019 the Netherlands' energy consumption from renewable sources grew by 16 percent compared to the year before. A total of 181 petajoules of the country's energy came from renewable sources. More than half of that increase was due to more biomass, mainly due to power plants using more biodiesel and biogasoline, Statistics Netherlands reported on Friday. 
Last year, 8.6 percent of the Netherlands total 2,100 petajoules energy consumption came from renewable sources. In 2018 the Netherlands also used a total of 2,100 petajoules of energy, of which 7.4 percent came from renewable sources. Agreements made in the European Union state that 14 percent of the Netherlands' energy must be renewable. That goal was not achieved last year.
Biomass is the largest source of renewable energy in the Netherlands, accounting for 60 percent of the total. Energy consumption from this source increased by 15 percent to 106 petajoules last year. This is partly because coal-fired power plants started using more biomass in 2019 - an increase stimulated by subsidy. Biomass accounted for 5.06 percent of the total energy consumption last year. 
The consumption of solar energy increased significantly in 2019, by 37 percent to 20 petajoules. The installed capacity of solar panels for solar power increased with a massive 51 percent, from 2,300 megawatts to 6,800 megawatts - a record amount, according to the stats office. Solar power made up 0.94 percent of the total energy consumption last year. 
The consumption of wind energy increased by 7 percent to 39 petajoules. The installed capacity of wind turbines increased from 4,400 megawatts at the end of 2018 to 4,500 megawatts at the end of last year. Wind energy made up 1.85 percent of last year's energy consumption. 
",post_images/20200529-153005Net.jpg
Douwe Egberts' parent valued at €15.6 billion in Amsterdam IPO," Coffee maker JDE Peet's, parent company of Douwe Egberts among others, made its stock debut on Amsterdam's AEX on Friday, one of only a handful of IPOs launched in the coronavirus crisis. Shares surged nearly 13 percent, valuing the company at 15.6 billion euros. At 09:55 a.m., they were trading at 35.55 euros, NY Times reports. ",https://nltimes.nl/2020/05/29/douwe-egberts-parent-valued-eu156-billion-amsterdam-ipo, Douwe Egberts' parent valued at €15.6 billion in Amsterdam IPO ,"Coffee maker JDE Peet's, parent company of Douwe Egberts among others, made its stock debut on Amsterdam's AEX on Friday, one of only a handful of IPOs launched in the coronavirus crisis. Shares surged nearly 13 percent, valuing the company at 15.6 billion euros. At 09:55 a.m., they were trading at 35.55 euros, NY Times reports.
JDE Peet's sold 700 million euros in new shares, which the company will use to pay off debts. Existing shareholders Acorn and Mondelez sold another 1.55 billion euros worth of stock for a total of 2.55 billion euros. That amounts to 16.5 percent of the company's shares, according to the newspaper.
Due to the coronavirus pandemic, the coffee maker had to forego the usual pre-IPO roadshows, replacing them with digital-only variants. The gamble to launch an IPO in the midst of the pandemic paid off, drawing big-name investors like Quantam Partners and Fidelity Management and Research.
""We are thrilled to price this offer on Euronext Amsterdam during this extraordinary time,"" JDE Peet's CEO Casey Keller said, according to the newspaper. ""Seeing the investor interest in JDE Peet's reinforces the belief in our strategy and solidifies our role as a global leader in coffee and tea.""
",post_images/20200529-153005Dou.jpg
Summery Pentecost weekend ahead; high temperatures and plenty of sunshine," A wonderfully summery Pentecost weekend lies ahead for the Netherlands, according to Weeronline. ""The sun will work overtime and the temperature can rise to summer values,"" the weather service said. Perfect weather for the terraces reopening on Monday. ",https://nltimes.nl/2020/05/29/summery-pentecost-weekend-ahead-high-temperatures-plenty-sunshine, Summery Pentecost weekend ahead; high temperatures and plenty of sunshine ,"A wonderfully summery Pentecost weekend lies ahead for the Netherlands, according to Weeronline. ""The sun will work overtime and the temperature can rise to summer values,"" the weather service said. Perfect weather for the terraces reopening on Monday.
Saturday will see plenty of sunshine, with only a few cumulus clouds in the east of the country. Maximums will range between 21 degrees in the north to up to 26 degrees in the south. Along the coast will feel cooler, due to a fairly strong northeasterly wind. The sunny and warm weather will last into the evening, making it ideal for outdoor dining, the weather service said. Whit Sunday will also be sunny, dry and warm with maximums between 21 and 24 degrees.
""Terrace owners and terrace enthusiasts could not have wished for better weather"" for terraces reopening at noon on Monday, according to Weeronline. The sun will shine abundantly with temperatures in the the low twenties. The south, middle and east of the country may even see a summery 25 degrees. 
With the abundant sunshine, there is also a risk of sunburn. The UV index will be 6 or 7 throughout the weekend, meaning you can burn within 10 minutes. So remember to wear sunscreen. Also remember to avoid crowds and social distance. 
",post_images/20200529-153005Sum.jpg
5G arson: Extra security at transmission masts after 29 fires," Radio mast companies and telecom providers in the Netherlands are hiring extra security to guard against arsonists targeting their transmission masts. After two cell towers in Roermond and Roosendaal were set alight this week, the total number of transmission mast arson incidents in the country stands at 29. ",https://nltimes.nl/2020/05/29/5g-arson-extra-security-transmission-masts-29-fires, 5G arson: Extra security at transmission masts after 29 fires ,"Radio mast companies and telecom providers in the Netherlands are hiring extra security to guard against arsonists targeting their transmission masts. After two cell towers in Roermond and Roosendaal were set alight this week, the total number of transmission mast arson incidents in the country stands at 29. So far only three suspects have been arrested for two of the fires.
Earlier this week, Minister Ferdinand Grapperhaus of Justice and Security said that all C2000 masts, the masts used by the emergency services to communicate, will get extra security in the coming period, AD reports.
There will also be extra surveillance at ""intersections"" where several transmission towers are connected, Anja Spronk of NOVEC, a company with about 850 transmission towers, said to the newspaper. 
The government, telecom companies, and mast operators are discussing what else can be done. ""You can think of extra locks and better hinges and locks, but arson is difficult to prevent,"" Ed Boerema of Cellnex, which owns a proportion of the masts in the Netherlands, said to the newspaper. ""We experimented with cameras in the past, but that was not a success. They were vandalized and there were many false reports.""
There are tens of thousands of antennas in the Netherlands, not only on masts, but also on the roofs of parking garages and other buildings. 
The authorities believe the arson incidents are connected to conspiracy theories about the 5G network. A popular conspiracy theory online suggests that 5G weakens people's immune systems and leave them vulnerable to diseases and viruses, like the current coronavirus pandemic. There is no scientific evidence for this claim.
",post_images/20200529-1530055G .jpg
Increase in welfare benefits; bad quarter for hospitality sector," At the end of March, the number of active general welfare benefits increased compared to the previous month for the first time since early 2017. The number of benefits to self-employed, including coronavirus specific benefits, increased sharply. The hospitality industry in particular had a bad first quarter, seeing the biggest turnover decrease in seven years, according to figures released by Statistics Netherlands on Friday. ",https://nltimes.nl/2020/05/29/increase-welfare-benefits-bad-quarter-hospitality-sector, Increase in welfare benefits; bad quarter for hospitality sector ,"At the end of March, the number of active general welfare benefits increased compared to the previous month for the first time since early 2017. The number of benefits to self-employed, including coronavirus specific benefits, increased sharply. The hospitality industry in particular had a bad first quarter, seeing the biggest turnover decrease in seven years, according to figures released by Statistics Netherlands on Friday.
At the end of March 2020 a total of 413 thousand Netherlands residents up to state pension age received a general social assistance benefit, a thousand more than at the end of February 2020. Despite this month-to-month increase, the number of active general welfare benefits was still 2 thousand lower than the previous quarter, and 19 thousand lower than the first quarter of 2019. ""This meant that for the 10th quarter in a row, there were fewer people with general social assistance benefits than a year earlier,"" the stats office said. 
A total of 14 thousand self-employed persons were receiving a benefit at the end of March, either through the self-employed persons assistance decree Bbz or through the temporary bridging scheme for self-employed Tozo, which was specifically implemented to help self-employed through the coronavirus crisis. In both January and February 3,600 self-employed received a Bbz benefit. The Tozo scheme was implemented in March, so there is no previous information on it. The sharp increase in self-employed receiving benefits is mainly due to the Tozo scheme, according to Statistics Netherlands. 
The first quarter of 2020 was a bad one for the hospitality industry, with turnover dropping 14 percent and volume 14.5 percent compared to the previous quarters. The decrease mainly happened in March, when the government implemented measures to curb the spread of the coronavirus. 
The turnover for accommodation providers, like hotels and holiday parks,decreased by 14.9 percent in the first quarter of 2020 compared to the previous quarter. The volume decreased by the same percentage. Food and beverage outlets, like restaurants, cafes and fast food outlets, saw turnover decrease by 13.6 percent and volume decrease by 14.4 percent compared to the fourth quarter of 2020
",post_images/20200529-153005Inc.jpg
